root_name,val_loss,val_ss_loss,val_wp_loss,val_str_loss,val_thr_loss,val_brk_loss,val_redl_loss,val_stops_loss,train_loss,train_ss_loss,train_wp_loss,train_str_loss,train_thr_loss,train_brk_loss,train_redl_loss,train_stops_loss
leaderboard,0.6317258038699509,0.3731802068283337,0.13229426261582,0.0154903207783205,0.0424892227589042,0.0432052348962667,0.0217794570226876,0.0032870990519928,0.6183342494377908,0.4853473017110366,0.080255837900525,0.0089713934762178,0.0248791786409842,0.0163476568450944,0.0018459122808969,0.0016445822761018
segformer_x13_swint,0.3755240114791506,0.0772618116678659,0.1335535677325921,0.016630375393829,0.0497403455566026,0.0544117594691621,0.0430015955582771,0.0009245562130177,0.1637266995475437,0.0402298927854667,0.0806626784989293,0.0087379054746292,0.0181485635283371,0.0120776084536323,0.0022333121916831,0.0016445822761018
segmenter_x13_x13,0.7424205799735862,0.1179253209393317,0.1728946871415361,0.0213460585637472,0.0723162847387669,0.0718189002316871,0.2851947731755424,0.0009245562130177,0.4638911873580408,0.0623959055865867,0.1378317211717685,0.0166658869274946,0.0536539378605486,0.044039159350022,0.1476599943614322,0.0016445822761018
swint_att_x13,0.9432374190602262,0.0692909395468574,0.2642432437255729,0.0382158752711535,0.1947513008147595,0.0906343617408595,0.285177196417641,0.00092449924336,0.8083695099952974,0.0234254581931369,0.2760954207545273,0.0327317498104782,0.2169564239285442,0.1099838854622751,0.1476608642196799,0.0016445919601323
swint_x13_x13,1.1340144345453598,0.0780096084143513,0.1561031051629972,0.0181256761362,0.0652583225437469,0.5304160264129815,0.285177196417641,0.00092449924336,0.8103014288328965,0.030066537745158,0.1121797845969871,0.0127597525370754,0.0321470014838151,0.4741848123060099,0.1476608641925479,0.0016445919601323
swint_x13_x13_v2,0.363386986446539,0.079791670870881,0.134804970847577,0.019270944778632,0.0490924257006,0.046979665223861,0.032522752688173,0.000924556213018,0.215535558148212,0.031411802149147,0.110916943131072,0.012863353788851,0.030947119923675,0.024257597343321,0.003509300838316,0.001644582276102
swint_x13_x13_v4,0.618916550873461,0.0753621269270954,0.1372316507760656,0.0152463989250704,0.0512383609295582,0.0537186835434873,0.2851947731755424,0.0009245562130177,0.320753249732471,0.029347784134065,0.0933752541463815,0.0113010240509971,0.0221003771104764,0.0153519012001424,0.1476635184664496,0.0016445822761018
swint_x13_x13_v5,0.435000479413303,0.0812062543194145,0.1519518031148398,0.016231032208506,0.0655152311991634,0.0705510172372981,0.0486205853861655,0.0009245562130177,0.163218142900474,0.0272398288388313,0.0901044223011702,0.0107992124510585,0.0187425387493898,0.0129991156369564,0.0017003617353035,0.0016446209148791
swint_x13_x13_v6,0.6010553420225574,0.0779622155654977,0.1295140136345832,0.0152263091144484,0.045271451170423,0.0469620223864038,0.2851947731755424,0.0009245562130177,0.2983775917106668,0.0266448743817295,0.0839747341474757,0.0098161742149856,0.0175373161771269,0.0111267143934765,0.1476635184664496,0.0016445822761018
vit_bb_ss,0.9532058937530192,0.2342756667470144,0.1933366726815041,0.0220018168886367,0.1056694422280911,0.1118029671076169,0.2851947731755424,0.0009245562130177,0.5433585569458554,0.1298323439905214,0.1450171125474872,0.0164726772469665,0.0555752112320244,0.0471566351583072,0.1476599943614322,0.0016445822761018
x13,0.3150450562382267,0.0808032202466411,0.1152461547722201,0.0132279916796984,0.0422481872798981,0.0397528824890105,0.0228420634493043,0.0009245562130177,0.145438725462404,0.0440679745565367,0.0646173583120432,0.0065824349765394,0.017451214482625,0.0097585750475234,0.0013252047718484,0.0016445822761018
x13_x13_convnext,0.2996622118933578,0.0793510540856941,0.1136800751582619,0.0144095270973627,0.0372342108561716,0.0330547291757465,0.0210080590034574,0.0009245562130177,0.1021718771148152,0.0425876771033261,0.0400637798106401,0.0041131090782188,0.0102104064540539,0.0030369029675442,0.0005217741136999,0.0016445822761018
x13_x13_swin_torch,0.299154351081486,0.0801807621097159,0.1145516910735291,0.0136627040390511,0.0360048641694096,0.0329296149646852,0.0209001585012494,0.0009245562130177,0.153871944160517,0.0438726381659115,0.0682277674057742,0.0067726412120748,0.020009536575177,0.0119497530891223,0.001404665423249,0.0016445822761018
x13_x13_swin_torch_16,0.7980561648629592,0.5241457648590001,0.1309148814499101,0.0129369764168116,0.0486814293870794,0.0485357438789081,0.0319168125619079,0.0009245562130177,0.6140984132145146,0.5260974280413644,0.0579833339220399,0.0061176342910846,0.0159696714175216,0.0066978990577932,0.0009053462027338,0.0016445822761018
x13_x13_swin_torchv2,0.3060933837678129,0.0811842763429063,0.1160790673884171,0.0131624376645013,0.0369494306214045,0.0340941721918814,0.0236994430025087,0.0009245562130177,0.1551759422647066,0.0445312968725785,0.0695112386659769,0.0070380035876201,0.0194060507348817,0.0116035246405971,0.0014495359768687,0.0016445822761018
x13_x13_swin_torchv2_16,1.6782981898246196,0.9443736628021244,0.1215957806717638,0.0153196733029611,0.0406851257340839,0.530448717948718,0.0249506754752917,0.0009245562130177,1.571645120905705,0.995320967773266,0.0704637936658488,0.0077016118461301,0.0210001528798185,0.4741918052814585,0.0013217641652823,0.0016450264458145
x13_x13_swin_torchv3,0.3132777502539859,0.0816644655551607,0.117419393413547,0.0127822504702986,0.0387077246738884,0.0374388858385262,0.0243404742182899,0.0009245562130177,0.1690475126187003,0.0450180455316381,0.0740665223648154,0.0075592404507555,0.0228713082388385,0.0160781471751858,0.001819616258225,0.0016445822761018
x13_x13_swin_torchv3_16,0.6317258038699509,0.3731802068283337,0.13229426261582,0.0154903207783205,0.0424892227589042,0.0432052348962667,0.0217794570226876,0.0032870990519928,0.6183342494377908,0.4853473017110366,0.080255837900525,0.0089713934762178,0.0248791786409842,0.0163476568450944,0.0018459122808969,0.0016445822761018
x13_x13_swint,0.340075883759035,0.0866634294930735,0.1243027493453408,0.0126908149508761,0.0400743716349549,0.0427841772421775,0.032581437259951,0.0009789029664416,0.1175160332376426,0.0446458272519532,0.0513177965106753,0.0050252468632881,0.0104823662185245,0.0048016147487299,0.0005495874052164,0.0007039609984559
x13_x13_swintv2,0.3225599860136913,0.0872498396931021,0.1189173917105906,0.0125153157130292,0.0450468534758476,0.0364449884929865,0.0214610411353864,0.0009245562130177,0.1695399138031107,0.0460382438309511,0.0730513184464478,0.0072996340532485,0.0243467765966746,0.0150944759447628,0.0020811381099432,0.0016445822761018
x13_x13_swintv3,0.3163937820613943,0.0871465602426751,0.1171447899791525,0.0133474431881744,0.0349263372130488,0.0356493273302655,0.027254768164371,0.0009245562130177,0.1158226310671882,0.0444377160228256,0.0499339268775596,0.0049191561544701,0.009781414674241,0.0045662938494115,0.0005500692499207,0.0016445822761018
x13_x13_swintv4,0.3254940702416429,0.0870028635031402,0.1190246982966709,0.014472065281945,0.0377578177003472,0.0390229422534325,0.0272716154477614,0.0009420669933365,0.1353525935008193,0.0460945461466999,0.0595705533032224,0.006153888542146,0.0140398318003472,0.0074452534764866,0.0007949811950903,0.001260730294967
x13_x13_swintv5,0.3267587388845444,0.0799895667193615,0.1240284201943708,0.0129005054145089,0.0403728055825348,0.0414612989239413,0.0270815859932206,0.0009245562130177,0.1461585126626428,0.0441432922061355,0.0655654558827996,0.0065592940608068,0.0170055681522137,0.0099051945996857,0.0013436859690323,0.0016445822761018
x13t,0.4035691733819229,0.0804152133354744,0.1390141995845976,0.0172500789282572,0.0941911188580639,0.0466847532750033,0.0250892525093806,0.0009245562130177,0.2184553144079728,0.0438022340262166,0.0824903151953754,0.0087476930518788,0.0575777039639583,0.0231134096667469,0.0010793762055352,0.0016445822761018
x13t-freeze,0.4586016695681937,0.0805575933998094,0.1353109012779465,0.0299561736855026,0.1238048551679925,0.0632283148111585,0.0248192738714311,0.0009245562130177,0.3313658483457368,0.0438813777961142,0.0901902116109865,0.029802200455856,0.1140060896886376,0.0507165916915516,0.0011247946195153,0.0016445822761018
x13tv2,0.3150450562382267,0.0808032202466411,0.1152461547722201,0.0132279916796984,0.0422481872798981,0.0397528824890105,0.0228420634493043,0.0009245562130177,0.145438725462404,0.0440679745565367,0.0646173583120432,0.0065824349765394,0.017451214482625,0.0097585750475234,0.0013252047718484,0.0016445822761018
xintra,3.141545358259062,0.0818512273908278,0.9441859974669148,1.0056875135595276,0.2670477471312993,0.530448717948718,0.2916637316903676,0.020660298028722,3.069160440722956,0.0375897963862586,1.093724552327367,1.0042265522817215,0.3098442673474892,0.4741812329671065,0.1478091398928331,0.0017848993579932
xtranfuser,0.7135463709147607,0.0754532371528255,0.1786872321915183,0.0254935827486574,0.0741208122648928,0.0736721780801401,0.2851947731755424,0.0009245562130177,0.5532427719812506,0.0457649397782014,0.1764185292028333,0.0200748089744616,0.0805525922203275,0.0811856874019189,0.1476599943614322,0.0016445822761018
xtranfuserv2,0.6947664563898621,0.0760443866770912,0.167500703692247,0.0246703336769058,0.072820878382042,0.0676108240154507,0.2851947731755424,0.0009245562130177,0.5103403950737961,0.0312416675991483,0.164675116806447,0.0203110336920704,0.0750819285539869,0.0697225478347959,0.1476635184664496,0.0016445822761018
xtranfuserv3,0.5925384106158593,0.0749038956651585,0.1312999633342407,0.0133661874479935,0.0468405084702286,0.0400085266853115,0.2851947731755424,0.0009245562130177,0.3115241478009367,0.0304777425506497,0.0850056799159678,0.0101838167022157,0.0225207344217215,0.0140827090967303,0.1476670425714669,0.0016445822761018
xtranfuserv4,0.3183323810927761,0.0756533615974456,0.1294031913915311,0.0161974219617826,0.0361299034130219,0.0341148634029725,0.0258370849551099,0.0009965538629007,0.1637270402694701,0.0313438551449501,0.0824152276497106,0.0102527034932487,0.0212584629520261,0.0147970352923752,0.0019861460056325,0.0016736096540621
