epoch,best_model,val_loss,val_ss_loss,val_wp_loss,val_str_loss,val_thr_loss,val_brk_loss,val_redl_loss,val_stops_loss,train_loss,train_ss_loss,train_wp_loss,train_str_loss,train_thr_loss,train_brk_loss,train_redl_loss,train_stops_loss,lrate,stop_counter,lgrad_loss,lw_ss,lw_wp,lw_str,lw_thr,lw_brk,lw_redl,lw_stops,elapsed_time
0,BEST,0.6198330014224,0.0941773640722976,0.2072968927193231,0.033147697325821,0.1342426866053693,0.0959220691629973,0.0541217359897902,0.0009245562130177,0.6363765603540009,0.1590894934809776,0.2127218377873068,0.0366059438782089,0.128246281007892,0.0778951783090139,0.0201557312284924,0.0016620936223248,0.0001,15,1.3569196462631226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4996.044618844986
1,BEST,0.4662930869682888,0.0864618442570551,0.1599697314134589,0.0237720842241928,0.0882050101009254,0.0636577911297717,0.0433020696029732,0.0009245562130177,0.4113158961540437,0.0646147922254848,0.1523139880934323,0.0232808815877301,0.0963768633608899,0.061390450041206,0.0116917651662418,0.0016478975257412,0.0001,15,,0.99999696,1.0000007,1.0000013,0.99999034,1.0000032,1.0000036,1.0000039,5007.519285917282
2,BEST,0.4564337455125661,0.0851535727719994,0.1513236000242664,0.0237819339249071,0.1026699094042545,0.0633768598126919,0.0292033139264708,0.0009245562130177,0.3527019827785673,0.0590199832942348,0.1343785145713585,0.0184351038655219,0.0758618355971439,0.0537804312446205,0.0095840525045853,0.0016445822761018,0.0001,15,,0.9999973,0.99998957,1.0000054,0.99997777,1.0000095,1.0000101,1.0000105,5008.5087015628815
3,BEST,0.440123310125262,0.0830531877463709,0.1573570745158343,0.0179323690497936,0.0734637894343237,0.0621081338012848,0.0452841992320766,0.0009245562130177,0.3169467635802835,0.0560061065635027,0.1244943650951517,0.0160890004613402,0.0648129073263101,0.0455021499626629,0.008398087952359,0.0016469586650748,0.0001,15,,0.9999951,0.99998575,1.0000068,0.9999775,1.0000101,1.0000119,1.0000126,5050.173551559448
4,,0.5004699363150952,0.08433908052536745,0.1704180173255449,0.01905667410115941,0.090046775870517,0.08104607798386443,0.05463875424373101,0.0009245562130177514,0.292020888240288,0.05402118047031889,0.11684272047532229,0.014649972961238359,0.057285121432522505,0.04041474199110862,0.007164175314820439,0.0016455761041972196,0.0001,14,,0.9999951124191284,0.9999857544898987,1.0000067949295044,0.9999775290489197,1.0000101327896118,1.000011920928955,1.0000126361846924,4880.671850442886
5,BEST,0.43972214461989423,0.08332799794427918,0.15097609500600948,0.022211176718835074,0.08308945072670623,0.06029321074646969,0.038899656888042415,0.0009245562130177514,0.27730114817984813,0.05252650102619535,0.1121523736201254,0.013808159891728058,0.05299130606068236,0.03728834583777227,0.006893520761301295,0.0016445822761018702,0.0001,15,,0.9999918937683105,0.9999741911888123,1.0000088214874268,0.9999793767929077,1.000013828277588,1.0000156164169312,1.0000163316726685,5441.43988609314
6,BEST,0.3925961287953033,0.08286758588307355,0.13964055706644696,0.01811397268036858,0.06095837560219183,0.04798321460471976,0.04210786634268096,0.0009245562130177514,0.2644164182458235,0.05138645514204486,0.10816446154057323,0.013105289751287283,0.049742716621143095,0.03465641697315521,0.005721164936227441,0.0016446474922911774,0.0001,15,,0.9999944567680359,0.999966025352478,1.000015139579773,0.9999744892120361,1.000003695487976,1.0000226497650146,1.000023365020752,5368.520160913467
7,BEST,0.38936272249749954,0.08199595026782103,0.13454199268636927,0.01571392212765699,0.07575618411245327,0.04967019865709528,0.030727832250001325,0.0009566417415819224,0.25218078084241013,0.050466251763131915,0.10389776927109266,0.012457971928840794,0.04652878827723408,0.03193171873839936,0.005258652285849781,0.001644787323514024,0.0001,15,,0.9999921321868896,0.9999597668647766,1.0000169277191162,0.9999755024909973,1.0000054836273193,1.0000247955322266,1.0000255107879639,5999.181752681732
8,,0.44348654662914705,0.08194245759919433,0.14797249922946304,0.018641897694368918,0.0731717171065378,0.06599486595032557,0.0548212887118598,0.000941820297099988,0.2464614274816446,0.049826570980134606,0.10136715299627093,0.01189160204187648,0.04530601614787244,0.030831906346942568,0.00559812626666122,0.0016454405053020274,0.0001,14,,0.9999855160713196,0.999957799911499,1.000017523765564,0.999977707862854,1.0000070333480835,1.000026822090149,1.0000280141830444,5986.581854104996
9,BEST,0.3679155546793424,0.08266402150943317,0.1311995725215048,0.014584605505768507,0.05711565394152215,0.0478073866123791,0.03361406229726632,0.0009302529184922899,0.2367966040069518,0.04925052779433047,0.09836747097965624,0.011448975195369426,0.04260932474493988,0.028694598646445347,0.004786670700661028,0.0016445822761018702,0.0001,15,,0.9999797344207764,0.9999562501907349,1.0000187158584595,0.9999791979789734,1.000008463859558,1.000028371810913,1.0000295639038086,6399.080549240112
10,BEST,0.3438595985071605,0.08276547426706882,0.13155480639620307,0.01735109913169087,0.04841166784321197,0.03803659871880046,0.02479174413490504,0.0009482072058264203,0.23159270897856354,0.04872054410407812,0.09628002581993064,0.010999749497377656,0.04098084297561987,0.028330237608580614,0.004641826231192425,0.001645558340319699,0.0001,15,,0.999976634979248,0.9999493360519409,1.0000193119049072,0.9999812841415405,1.00001060962677,1.0000306367874146,1.00003182888031,5740.082487106323
11,,0.37906092241648914,0.0814011097762594,0.13598832698838892,0.015439487926970688,0.05768124899825566,0.05260626538964337,0.034304805370911046,0.0016396785751021884,0.22302501802545815,0.0482858151631368,0.09390259623027689,0.01071084430469705,0.03853782438362594,0.026087344123240538,0.0038623489359973636,0.0016446151372775913,0.0001,14,,0.9999749064445496,0.9999476075172424,1.0000215768814087,0.9999736547470093,1.0000137090682983,1.0000337362289429,1.0000349283218384,6001.299106359482
12,BEST,0.33523489466888545,0.082069585849283,0.12819058646407086,0.013528095859355367,0.04640589531279615,0.040112444703399225,0.024001679375411342,0.0009266070528341644,0.21852257175458747,0.04779600719125277,0.09225767456977212,0.010378486294174514,0.0374056289241343,0.02546505788548373,0.003580907955744719,0.0016454752222086525,0.0001,15,,0.9999712109565735,0.9999442100524902,1.0000227689743042,0.9999743700027466,1.000015377998352,1.0000355243682861,1.0000367164611816,6112.779068946838
13,,0.36935671943164555,0.08193269403030475,0.13255184309369256,0.016229127111039455,0.05618944403399021,0.04266962054997492,0.03885943513419626,0.0009245562130177514,0.21376544417782437,0.04747583490723131,0.09026526600499803,0.010159107825680245,0.03596402434459408,0.02469538317026339,0.003568155545172076,0.0016445822761018702,0.0001,14,,0.9999729990959167,0.9999450445175171,1.0000290870666504,0.9999657869338989,1.0000019073486328,1.0000419616699219,1.0000431537628174,6274.627781152725
14,,0.3685953481879666,0.0827253381014458,0.1333474128136707,0.015519120441229611,0.05556433338635643,0.04830876988987025,0.03220581748275751,0.0009245562130177514,0.2089826017945512,0.047083937998687084,0.08825068128098625,0.00991859403920511,0.035046346543852525,0.023657175697364908,0.003388171764058493,0.001644775727887178,0.0001,13,,0.9999692440032959,0.9999424815177917,1.0000298023223877,0.9999672770500183,1.0000030994415283,1.000043511390686,1.0000447034835815,5908.058468580246
15,,0.4698705998813289,0.08178092337064666,0.15790316261993115,0.013184007759737788,0.07542462444428402,0.07319474172802767,0.06736830784066689,0.0010148325073486837,0.20472872538791234,0.04687055526865782,0.087180629221829,0.00965666555160009,0.0335087132930078,0.022529670677646288,0.0033447598530930165,0.0016450304876722045,0.0001,12,,0.9999639391899109,0.9999405145645142,1.000030755996704,0.9999687075614929,1.000004529953003,1.0000450611114502,1.0000463724136353,5939.942596435547
16,,0.3669997946335337,0.08228228670311633,0.13134097147120358,0.014927947402346113,0.05908670881016848,0.046590958297146115,0.03184083837825673,0.0009300848501284389,0.2004278524383271,0.04658215448275011,0.08586528736117906,0.009402310589064574,0.0325509959012638,0.021536705218201564,0.0028541345011726736,0.0016448281748440356,5e-05,11,,0.9999651312828064,0.9999249577522278,1.0000361204147339,0.9999603629112244,1.000010371208191,1.0000509023666382,1.0000523328781128,5606.432485103607
17,,0.3431801614158693,0.08097032464386737,0.12483708932913995,0.012353824980070064,0.048691483963849445,0.04355292122960789,0.031846283588749476,0.0009282324959099645,0.17431025867799477,0.04551732165387277,0.07700738467262924,0.007865092722425342,0.023958460365887863,0.01629206231525158,0.002033703168622184,0.0016445854717522324,5e-05,10,,0.999963641166687,0.9999155402183533,1.0000380277633667,0.9999626278877258,1.0000126361846924,1.00005304813385,1.0000547170639038,5736.768043518066
18,,0.40077618768905277,0.08064232255043774,0.13985908296962885,0.01424508127444449,0.05769182383395085,0.0638194689800397,0.04359385204966193,0.0009245562130177514,0.16632203971719414,0.045115095720860185,0.07406572219749724,0.007499209857889722,0.021936760096528805,0.014297186854009913,0.0017717273781110558,0.0016446346418819877,5e-05,9,,0.9999653100967407,0.9999133348464966,1.0000414848327637,0.9999585747718811,1.0000061988830566,1.0000566244125366,1.0000582933425903,5764.699858665466
19,BEST,0.3322894742521338,0.08002398920078309,0.1242510659331969,0.01272946631939897,0.04356124762781387,0.04136544098081967,0.029433707667595507,0.0009245562130177514,0.16315225682002285,0.0448840899220894,0.07234911647637718,0.007297900607327178,0.021323256973977113,0.013807754455133048,0.0018537187956657569,0.0016447029746235672,5e-05,15,,0.99996417760849,0.9999114274978638,1.0000417232513428,0.9999591708183289,1.000006914138794,1.000057339668274,1.0000590085983276,5834.7831971645355
20,,0.3905553543293588,0.08034541240950249,0.13459040494009422,0.012628245595294966,0.055965001466275324,0.05315285720022053,0.05294887581702388,0.0009245562130177514,0.1580971402632763,0.0447113201061183,0.07042393839409945,0.007146873672458406,0.020077471277925217,0.012512556623595099,0.0015886947648614098,0.0016445822761018702,5e-05,14,,0.9999629259109497,0.9999087452888489,1.0000419616699219,0.9999601244926453,1.0000077486038208,1.0000582933425903,1.000059962272644,6810.88277721405
21,BEST,0.3060933837678129,0.08118427634290631,0.11607906738841718,0.01316243766450139,0.03694943062140454,0.034094172191881454,0.023699443002508796,0.0009245562130177514,0.15517594226470663,0.044531296872578584,0.0695112386659769,0.007038003587620171,0.019406050734881785,0.011603524640597105,0.0014495359768687708,0.0016445822761018702,5e-05,15,,0.9999615550041199,0.9999079704284668,1.0000425577163696,0.999960720539093,1.0000083446502686,1.000058650970459,1.0000606775283813,6823.438250780106
22,,0.31461330032604334,0.08125360262501229,0.11928745656239473,0.012492044133956671,0.038316840251849844,0.037285057503727306,0.025053743269345934,0.0009245562130177514,0.15182393095923868,0.044370118841583504,0.06792379938113902,0.006862653727507883,0.018593303414430176,0.011054961272450065,0.0013828360082713098,0.0016445822761018702,5e-05,14,,0.9999600648880005,0.999905526638031,1.0000431537628174,0.9999614953994751,1.0000091791152954,1.0000594854354858,1.0000615119934082,6823.449756383896
23,,0.32869574429074216,0.08042405884992147,0.12349903336278951,0.012259446433278916,0.04023184634780023,0.04069079302184291,0.03066600991286249,0.0009245562130177514,0.1497233494594252,0.04421861273363567,0.06704597898519837,0.006772342245444895,0.01822388943552141,0.010475381640072787,0.0013512481310020703,0.0016445822761018702,5e-05,13,,0.9999597072601318,0.9998981952667236,1.0000427961349487,0.9999630451202393,1.0000112056732178,1.0000615119934082,1.0000635385513306,6417.079851865768
24,,0.3203092334825083,0.0794985583823549,0.12202700039269841,0.012492338400949491,0.04208498281925913,0.03675565938557144,0.02652613685353378,0.0009245562130177514,0.1473691120824972,0.04407153582527216,0.06583176240263248,0.006602142331634342,0.01788845267829744,0.01004885996765795,0.00129054748152009,0.0016445822761018702,5e-05,12,,0.9999584555625916,0.9998953342437744,1.0000430345535278,0.9999639987945557,1.0000122785568237,1.0000625848770142,1.0000646114349365,5534.3950481414795
25,,0.31940472424507904,0.08025872359820137,0.12104705460670671,0.011597795954118039,0.039205785004143776,0.03809393271418101,0.02827687615402873,0.0009245562130177514,0.14515604488793177,0.043943175149350006,0.06465600704595037,0.0065135134111360985,0.017389208129964997,0.00984433440154608,0.0011739596114010784,0.0016445822761018702,2.5e-05,11,,0.9999569654464722,0.9998945593833923,1.000043272972107,0.9999645352363586,1.0000128746032715,1.000063180923462,1.0000652074813843,5705.235378503799
26,,0.3157293789320179,0.08033621344436144,0.1199405204074313,0.01136487788768796,0.0388629997426486,0.037482504245891245,0.026817707227096622,0.0009245562130177514,0.13367243308618423,0.043484462740629864,0.060188440976424354,0.00585213593555933,0.01380678901209298,0.007785113273397124,0.0009191688767307612,0.0016445822761018702,2.5e-05,10,,0.9999551177024841,0.9998945593833923,1.000043511390686,0.9999648332595825,1.0000132322311401,1.000063419342041,1.000065565109253,5804.029110193253
27,,0.3289612893151079,0.07978668213037579,0.12073809151333129,0.011404551733238117,0.04263829731203788,0.04081624566165903,0.03265286449660296,0.0009245562130177514,0.13001970844090366,0.04332434167262223,0.05868046756384049,0.005691282048300923,0.012925434439025649,0.006925227844149969,0.0008367361289405888,0.0016445822761018702,2.5e-05,9,,0.9999547600746155,0.999889612197876,1.000044345855713,0.9999659061431885,1.000014305114746,1.000064492225647,1.0000666379928589,5805.810585021973
28,,0.32620310748851983,0.0801909948576102,0.12128418458702193,0.010848033991774612,0.040004825371173364,0.04086032828832269,0.03209018444663549,0.0009245562130177514,0.12802747290778566,0.043199515501267424,0.05753957990883041,0.005621772575763596,0.012577128859800236,0.006597399120328783,0.0008557852519697729,0.0016445822761018702,2.5e-05,8,,0.9999539852142334,0.9998889565467834,1.000044584274292,0.9999662041664124,1.0000145435333252,1.000064730644226,1.000066876411438,5849.061945915222
29,,0.3219097773553675,0.08063007906057248,0.12075561945474958,0.010838307550428436,0.039822338655254856,0.039050428705846546,0.029888447424161746,0.0009245562130177514,0.12608467841417806,0.04310726291609347,0.05648557975595797,0.005548765522797485,0.012350242540756055,0.006197979042791021,0.0007585210812924618,0.0016445822761018702,1.25e-05,7,,0.9999532103538513,0.999888002872467,1.000044822692871,0.9999666213989258,1.0000149011611938,1.0000650882720947,1.0000672340393066,6025.916416883469
30,,0.37199588538252215,0.08022368282145827,0.13114756134489247,0.011206987113141362,0.048809337094233275,0.052304690972859634,0.047379069180224144,0.0009245562130177514,0.12026265509091909,0.042882271881205906,0.053892621098298656,0.005182893892719227,0.010630128338907818,0.005362858287301698,0.0006753311472745945,0.0016445822761018702,1.25e-05,6,,0.9999525547027588,0.9998864531517029,1.0000452995300293,0.9999670386314392,1.000015377998352,1.000065565109253,1.0000677108764648,5917.429625988007
31,,0.34711164879912043,0.08010927378888842,0.12660508241093246,0.010955726531801432,0.04309485554917857,0.046388023244644125,0.03903413129510281,0.0009245562130177514,0.11893630742931509,0.04280529294336983,0.05299369680150126,0.005116233764615383,0.010455157585338921,0.005265477685189777,0.000663811552362305,0.0016445822761018702,1.25e-05,5,,0.9999522566795349,0.9998862743377686,1.0000454187393188,0.9999671578407288,1.0000154972076416,1.0000656843185425,1.0000678300857544,6075.382143974304
32,,0.3731100076636854,0.08015516733372294,0.13299751759355388,0.010896662888292791,0.048021576777872076,0.05332990790165307,0.046784618816267755,0.0009245562130177514,0.11757372785018284,0.042740841371384224,0.05233525446354072,0.005066387003923674,0.010125595432530565,0.005026129402022712,0.0006428505728353323,0.0016445822761018702,1.25e-05,4,,0.9999521374702454,0.9998853206634521,1.000045657157898,0.9999674558639526,1.0000157356262207,1.0000659227371216,1.0000680685043335,6087.897478342056
33,,0.3221870953184084,0.08019993850994392,0.12231340459619118,0.010572701344404361,0.038344290119543475,0.03852544825352339,0.03130675674128186,0.0009245562130177514,0.1164426688240002,0.04267557906668702,0.05167062585987234,0.005020434461457518,0.009971110247237616,0.004851195990883011,0.0006170341995857273,0.0016445822761018702,6.25e-06,3,,0.9999515414237976,0.9998846054077148,1.0000457763671875,0.999967634677887,1.0000159740447998,1.0000661611557007,1.0000683069229126,5816.945899963379
34,,0.32651494917711443,0.0803249970416463,0.12271347281866785,0.010753191822370688,0.038623099422786765,0.04033586059796167,0.03283977025421336,0.0009245562130177514,0.11370391924781086,0.042558695896308195,0.050271110606828456,0.004827939765348151,0.009291667674734147,0.004554563086119867,0.0005631015269529127,0.0016445822761018702,6.25e-06,2,,0.9999510049819946,0.9998846054077148,1.000045895576477,0.9999677538871765,1.0000160932540894,1.0000662803649902,1.0000684261322021,5917.276533842087
35,,0.3264426226990345,0.07979798021210134,0.12295491888875927,0.010566897430952054,0.038289225724212554,0.04035267360619576,0.033556371661825235,0.0009245562130177514,0.11280692653875274,0.042521637783190375,0.049768561758559496,0.004799594395033921,0.009118061983897518,0.004388948916161714,0.0005732326555419312,0.0016445822761018702,6.25e-06,1,,0.9999508261680603,0.9998844861984253,1.000045895576477,0.9999677538871765,1.0000160932540894,1.0000662803649902,1.0000684261322021,5918.384137868881
36,,0.33987879137925553,0.08052022527918014,0.12572475614440817,0.010497123445985511,0.04107127858946261,0.04378542345346923,0.037355428020822534,0.0009245562130177514,0.11205510223912248,0.04249586020601139,0.0493053068875774,0.00478417989395398,0.00900824391895818,0.004325112321441634,0.0004994568635038552,0.0016445822761018702,6.25e-06,0,,0.9999507665634155,0.9998845458030701,1.0000460147857666,0.9999676942825317,1.000016212463379,1.0000663995742798,1.0000685453414917,6160.712064743042
